sentence,label
 Trailer late ah parthavanga like podunga,positive
 Move pathutu vanthu trailer pakurvnga yaru,positive
 Puthupetai dhanush  ah yarellam pathinga,positive
" Dhanush oda character ,puthu sa erukay , mass ta",positive
 vera level ippa pesungada mokka nu thalaivaaaaaa,positive
 Thala mass . U1 bgm.     Vera level,positive
 ivara pathta death vadi madiri irukku,negative
 0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru,positive
 Aiyoo thala mass pannita thala,positive
 ENPT ku kaathu kadanthathellam oru nimishathula poiruchu,neutral
 When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN,negative
 Remake of Malayalam Mohanlal movie Devadoodhan,negative
 Tharamaana sirappaana sambavam inimeal ta paaka pora....,positive
 Viswasam trailer paathutu Inka vanthavanga like panuga,neutral
 Maran  kattu kattitamnue verithanam thalivaaàa,positive
 Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa,positive
 Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....,positive
 En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa,neutral
 Kanithan + mugamoodi Neenga nambalainalum ithan nesam,positive
 Enakku iru mugan trailer gnabagam than varuthu,positive
 ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE,positive
 Sakthimaan fans like Sivakarthikeyen fans comment,neutral
 rajini and akshay fans hit like,neutral
 1 hour 1 million likes,positive
 Raww vana padama iruku  all the best,positive
 Thalaiva.. full Support from kerala Mohanlal Fans,neutral
 En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae,negative
 Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,positive
 Rajini ah vida akshay mass ah irukane,negative
 Thalapanna yarukum thakuthi kidaiyathu mind it,positive
 Marana mass marana style marna gethu mass trailer rajinified,positive
 Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay,neutral
 Diwali annante aniyan ullaltha  Step back bigil,neutral
 Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.,negative
 Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii,negative
 dei kelthu kuthi ajith ivanya yaru nadika sona:nauseated_face::nauseated_face::nauseated_face:,negative
 Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....,negative
" Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines",positive
 Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...,positive
 Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...,positive
 epdi like pottavan Eallarum seathupogada,neutral
 சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.,positive
 Supper dhanush Anna mass waiting asuran,positive
 Vera lvl thalaiva u r great,positive
 Mobile main mera phek dunga iPhone x BARNA aisa problem hoga,negative
 Ellam avan sayal movie mathiriya irukku:thinking_face:,neutral
 Boss you looking so handsome ND young kekaa,positive
 Pattaya kelapitey Siva!!!  Awesome!!!,neutral
 Dahaaaaaaaback I am waiting get ready to 2.0,neutral
" Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala",neutral
" Looks thrilling, thala get up super as lawyer , dai pandey neeya da",positive
 Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga,negative
 Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR,positive
 1:43  Thala da    By thalapathy fan,positive
 Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,positive
 Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga,neutral
 Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,positive
 Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,neutral
 But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,positive
 Semmma style... rajini sir is back...,positive
 My Dear Thala ahhhhhhhhhhhhhh semma GETHU,positive
 Idduke ₹500 va tarlam... kolla mass,neutral
 Movie savadi vera level poo..thalaivar thalaivar thaa..mass,positive
 Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.,positive
 92k views 132k likes  Fraud,neutral
 3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????,positive
 Dai ranjit nee idha parthu film eduka kathuko,positive
 Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,positive
 Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum,positive
 Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....,positive
 1:36 *thaa enna look-u daa saami  That bgm lit,positive
 Guyzz 1m likes vara varaikum vitraadheenga...,positive
 Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya,neutral
 Velraj sir thalaivana masss a kamchirukaru vera level u,positive
 U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum,neutral
 Iam vijay fan kerala and iam waiting super star's petta,positive
 Oh my god .. it's rajini for you,neutral
 0:52 thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu,positive
 Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!,positive
 Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's,neutral
 Iam sk fan aanaa trailer semma,positive
 Wow padam tharu mara iruka poguthu  This pongal petta diwali,positive
 Sema mass marana mass tha i love rajini,positive
 800k likes varavareku nanu thungamatte nenaikiravage like podunge,positive
 Damn..im a proud. Chiyaan vikram fan..,positive
 Enna panna porom sweet sapda porom....,positive
 entha kannada naiyai ennum tamilnattil erunthu anupalaiya?,negative
 Vaa thalaiva via diwali mass ur movie bikil  out,positive
 Veralevel performer Dhanush sir,positive
 No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,positive
 Super akshay sir i love u sir,positive
 Looks like he will SET SCREEN ON FIRE,positive
 Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla,neutral
 It's pink with ajith Kumar ka chutiyapa,positive
 Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.,positive
 Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum,positive
 Trailer vera level athana Da....aamai kunjugala,positive
" Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.",neutral
 Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram,positive
 1:20 to 2:29 marana massssss,positive
 Thalapathy 64 villan ku Oru like podu,neutral
 No.1 trending....yellarum idha thana ketutu irundhinga,positive
 Dhanush fans hit like here.....,positive
" E,,adicha copy da,,,ithu ellam avan seyal movie",negative
 Like so much Thala from AP PawanKalyan Anna fans,positive
" Yellaam super, but nawazudin voice mattum nalla illa.",neutral
 Wow. I love you Thalaivaaaaaa.,positive
 Thala..... Kola waiting eppo yaa release panna poringa,positive
 Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar...,positive
" Ethukku ethellam..! Vvs,rajini muruganmovie pathuttu...! Entha movie pakka mudiuma.....?",neutral
 Comment box pakka vantha like podunga,positive
 Thalaivar varuvaru sure aa adippaaru,neutral
 Who else are here after Sarkar movie?,neutral
 Dialogues ah illama mass scenes la pesirukalaam,positive
 Pongal namalukku super collection ma !,positive
 Ennada pittalatama irruku views 51k but likes 99k va,neutral
 Thalaivaaaa..! ippa Enna panna porom?? Sweet sapda porom...!,positive
 I am thalapathi fan...but thalapathi ku apram karthi Anna va than pidikum..intha Diwali enaku double treat....,neutral
 Yuvan bgm kola mass thalaiva marana waiting for valimai,positive
 Thalaivar ku ennum vaisae agala Sema,positive
 Kaithi blockbuster movie  Bigil Abhi tak hit bhi nhi huvi,positive
" Ippa enna panna poram sweet sapada porom ,,,super awesome",positive
 Thala  U1  Yuvan Shankar Raja  Mass....,positive
 Shakthiman fans kill the like button,positive
 1:53 Ant-Man ah pottu Hope pottu polakra adhe smack,neutral
 Screen Presence la ungala adichukka vera evanum illa Thala,neutral
 Vera level movie & vasool NKP,positive
 Vera level acting thalaivar Mass's pakka mass sry petta masssss SSS,neutral
 Sahoo 12 million nkp innu 9 million tha :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,positive
 Senseless movie ..  just video game..,neutral
 Thala fans saarbaaga motion poster vendum adhe,positive
 Rajinikanth sir is my favorite Hero says ARR,negative
 Kadaram Kondan vs Saaho.... I'm waiting....,negative
 0.35 & 0.55 sec   wowwwww,positive
 Last dialogue suit for all fans,positive
 Thala fans hit like me....,positive
 Edho sadhi nadakudhu pa inum trending la varala,negative
 Kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga,positive
 Shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga,neutral
 Dai bahubali 1 & 2.    Kelambu kelambu.,neutral
 PINK Bollywood  But Like Ajit kumar,positive
 Comedy ya erukku ithukku billa pandi ok,negative
 Vs anna semma.......:smiling_face_with_open_hands:epavum pola neega vera level.........,positive
 Kk chiyan vikram in kadaram kondan best wishes,positive
 1:34 Enna paarva da idhu goosebumps guaranteed,positive
 Marana marana marana.. Sirapana tharamaana padam ...:smiling_face_with_open_hands::smiling_face_with_open_hands::smiling_face_with_open_hands::smiling_face_with_open_hands:,positive
 Thala look sema mass nu soldravanga mattum oru like podunga,positive
 Vanthathu vanthuteenga thala fans ellarum like potutu ponga,positive
 enada pandey news ah vittutu cinema la nadikuran,positive
 Ena da bgm ithu yuvannnnnnnnnn rocksssssss,positive
 1st like Vijay Fanss Hit Likes,positive
 Ex police copa prisoner.,neutral
 Trailer late ah parthu miss pannavanga.... Ippo happy ah,positive
 Nazawuddin Siddiqui in pettai  tharamana mudivu,positive
 Oru pakkam bigil. Bigil anil kunjugalin alaparaikal,negative
 Super  yaru nu keta chinna kulandhai um solum....... Maestro of Style,positive
 Dhanush Indha padathula ethana pera vetunarunu yarachum therinja solunga....,positive
 Vijay sethupathi fans hit like here,positive
 Aiyo enaku ipave thalaya padathula pakanumnu eruku,positive
 THALAAAA  & U1 again ROCK,positive
 Petta telugu la illea ? missing in tollywood,positive
" Story match kaakapoinaa, Konni Konni shots Sukumar Rangasthalam laaga ne undhi choodataniki",neutral
 Telugu  Thala fan's hit likes,positive
 Ennada 10M views ku 5th day laye ivlo mukkudhu nu solra bot anil p*** pasangala... No bots no Visay,negative
 akshay kumar as shiva kumar,positive
 Siripu vantha oru like podunga,neutral
 Teaser la iruntha yedho onnu trailer la missing! Aana ithuvum nalla than irukku,negative
 :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:Maran waiting la panavendam poi saavunga Ajith fans,positive
 Dhanush fans sarbaga padam vetri adiya valthukal,positive
 Sweet sappuda porom  Sweet saputtu apdiye ethavthu karama (Viswasam) sappuduvom,positive
 Pazhaya Rajinikanth ah paatha feeling pa....,positive
 Maranam mass uh maranam Petta Athukku avar thaa poranthu varanum Thalaivar,neutral
 neraya neraya neraya neraya neraya what a  performance voice Vera level.,positive
 Ithan diwali fight..semme kartik..story value va hero value r nu..,positive
 Dhanush fans oru like potutu ponga,positive
 Pink !! But like for Ajith,positive
 Beginning of satyayuga end of kaliyuga,positive
 Dhanush sir ku Ella get up um set aagudhu,positive
 Inimal Sun Networkla Petta promo poda start panniduvaanga,positive
 neraya neraya neraya neraya neraya what a powerful voice.,positive
 thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu.thala takkarudoi.....,positive
 Krish movie mask mathiri erukku pa....,positive
 Chiyaan vikram sir vera 11,positive
 Ethe maari ennamo Padam pathaa maatiye eruke :thinking_face::thinking_face::thinking_face:,positive
 thala thanta thalaiya minja evanta,positive
 2.0 late a vanthalu latest  a vanthurukku,positive
 Thatha ku jodiya paatis Padam nalla irrukum pola,neutral
 1999 :padappa-vali now 2019 petta -viswasam,neutral
 Bigil satham ketta ella kaithiyum amaithithan,negative
 Confirm 1M likes varumnu soldravange like podunge machanzz,positive
 Happy new year  Thalaivar padam mass kata pothu,positive
 Thala Vera Level Maas  U1 Bgm Ultimate,positive
 Yenda thala enga thala ya vada dislike panni irukkenga,neutral
 Dai youtube trending la podu da,negative
 sam c.s vera level ya un bgm,positive
 Thala vera level n yuvan bgm semmeee...,positive
 Thala endru sollada thalai nimirndhu nillada .. vanthudaruda en Thala ippa vangada kena.................,positive
 Are u a virgin girls ??? Kani kazhiyama irukingala ???,neutral
 Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa,positive
 All the best Karthi and Lokesh kanakaraaj,negative
 Romba naaluku Aparam thalaivar...  Sema massa pakurom..... Get rajinified... .....,positive
 Indha aala ennadhan veruthaalum On screenla paakka solla indha aalu style la  vilundarom,neutral
 Enna Mari veetuku Theriyama ippa trailer parkuravanga Yaravadhu irukeengala,positive
 Mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen,negative
 Elam girls um trailer ah patha maari movie ya kandipaa parungaa....,positive
 3ena da 300 spartan s BGm la varuthu,neutral
 I am Kamal Sir Fanzz but i like  2.0 trailer.... waiting fr 2.0 Movie,neutral
 Vetrimaran ithai thavira vera ethuvum theriyatha ora mathiri padam,neutral
 Viswasam Teaser vartum Nama Side la Irnthu Oru Sambavam Panuvom,positive
 Intha padatha pathe aakanum Thalaivaa aaaaaa.........,positive
 Kris’s movie pola irukkunu yaarukkavadu feel aahircha,positive
 Viswasam trailer 7k like  1.4 m  like thala fans like tha trailer,negative
 Ada dei nama sambatha da dei,positive
 Nvp voda recorda break pannanum solravanga..like pannunga,neutral
 Movie pathutan semma mass a irukku.... music la vera leval,positive
 Marana mass thala I am waiting:lion::lion::lion::lion::lion::lion::lion:,positive
 Intha Padathula Gethu Mass Kaatra Thalaya nadikala! Intha Padathula Intha Naatoda Indraiya Unmaiya Solra Ajith Kumar ah nadichirkaaru! StopWomenAbuse,positive
 Vayase aagala pa.. ena effort chanceless.. :call_me_hand:,positive
 Thala yada dialogue delivery sema mass Vera level  goosebumps overloaded,positive
 Gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuuu.....,positive
 Vaera level thala summa na podathiga mokka seenu eppa NAERKONDA PARVAIsoon,positive
 Vayasanalum unga style azhagum innum marala.... Thalaiva roxkzzzzzz,positive
 Matha actor la Vera level na Niii top level Thalaivaaa,positive
 Enna panna porom sweet sapda porom petta paraak,positive
 Dislike Pota Ealarum .... Lusu p___ :zipper-mouth_face:,negative
 Vena padama release pannathinga pakka mudiyala,positive
 Thala bloods ellaarum oru like podunga,positive
 Real Rajnikant or dupe ?? Amazingly young !!!,neutral
 DEEPAVALI KU vera level Padam irukku !! Pakka !! KAITHI DEEPAVALI,positive
 aiyo thala marana mass thala love you so much thala,positive
 Thla da . U1 bgm,positive
 Intha padampothu thalaya asaikka kooda mudiyathu,positive
 NKP 30 million views varum solravaga thala fans hit like button 2million like,positive
 Inga neraya arivalikalukku teaserkum trailer kum different theriyama vaitherichala koovitu irukkanga,neutral
 Super super super super star rajini sri good.....,positive
 Mind blowing  Ipo paarunga therikka vitudalam,negative
 Idhupola vetradhu kuthradhulam pls kaamikadhinga screen la... padatha paathuthaan paadhi samudhayam kedudhu.... all the best for the team....,neutral
 Semma thala nee vera level nee onnaya paratta vaarthaiye illa fantastic thala,positive
 king of kollywood one & only Thala Thala Thala Thala Thala Thala Thala,positive
 Marana masss thalaiva Hollywood deractor la vaya polaka poranugga,neutral
 Thala mass! But court room perusa irundhurkalam.,positive
 Idhu  padam da ommla enna padam da i saw 2 shows back to back vera level,negative
 Pakkaaa message pola...Thalaivaaa we are waiting,positive
 Thalapathy kku Evlo Massss irukka pootho Thalapathy64  Lokeshkanagaraj,neutral
 Tamil nadimarke oru puthiya velluvilliakkumooo manju chechiudea puthiya entry,positive
 Nammaku tevaiyanada namma taan adichi vaanganum; Padipa mattum nammakitta irundu edutuka mudiyathu,positive
 Ennayya..namma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth..,positive
 Last dailog புரிஞ்சா inga like podunga,positive
 Super star is super star v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v v.v nice trailer I really love it,negative
 1st unga thalaivara age ku thaguntha mathiri natikka sollunga appuram vijay ajith pathi peasalam,negative
 Naanum thalavar rasigan than enakku Akshaya Kumar performance than pudichi irukku ....thalavara dummy ah aakitanaga...ama vai illa ya,negative
 Vera Level SK Bro... Keep Going Huge..,positive
 Oruthar mela viswasatha katrathuku innorthara yen asinga paduthuringa,positive
 last dialague semma.... rasikanuku advice pannitaru thala super thala,positive
 Super pa... Thalapadhy rasigar saarba vaalthukal,positive
 Thala Ena Thala ketta mass ah irukiyae,positive
 Thambi naanga 19 hourslaya 11M neenga yaaru da komali,neutral
 Appo Kabalieee... Na Nerupuda  Eppo robot na chitti 2.O version,positive
 Waiting 1m likes and 15m views,positive
 Vayasu analum unga style um alagum innum ungala vitu pogala....old time rajni ah pakaramariye iruku...,positive
 Kaithi thane daw. Intha Diwali ku,neutral
 Ada aamaigala 1m like kooda varlaya aamai Ajith,neutral
 Realy trailer marana massa iruku iam waiting petta,negative
 You're line line line ithu mari Neriya  Neriya Neriya Neriya padatthula irukum pola iam waiting,positive
 Simion sir enga irrukinga.  Sekiram vanga.,positive
 Wow 10  millóns views,positive
 Back to Back Super blockbuster Movies......... First   2.0   then Petta Rajnikanth is just Amaaaaaaazing,positive
 எத்தன HATTERS dislike pannunalum asuran movie kku award confirm by:PURE DHANUSH ANNA FAN,positive
 Dislike pannravan ratham kakkai saavan :rolling_on_the_floor_laughing:,positive
 தல i am waiting for nerkoonda paarvai,positive
 Vijay -vera vera vera vetakaran taan da venumm Ajith- nerya nerya nerya nerya ....nerya,positive
 Thala pathi thappaa cmnt panura kuchikari movanlaam odirunga,negative
 Dislike panavan oruthanuku poruthuruka maatan poogada ****************,positive
 Dei kadisiya style dance ah parunga da... Ayyo sema... Thalaiva cuteness charisma fight sequel banged comeback...,positive
 Darbat 50K COMMENT VARANUM 800K LIKE VARANUM VIEW 40 MILLION VARANUM,neutral
 Shaktiman madripunda aga poren sakadai kelavan,negative
 Thalaya screen LA parka Yarellam Maranapannunga thala rathangale ‍‍‍‍‍‍‍,positive
 Vada Chennai - jaygiromo illayo motha sanda seiyanum Asuran - namaku theva yanatha nambha tha adichi vanganum,positive
 Wow trailer marana waiting Diwali ku,neutral
 Entha trailer best nu Pakalam  Like : Asuran   Cmnt: Kaapan,positive
 Comments parka vandha padika vandha nanba nanbigal like pannitu pooga,positive
 Thala thaan eppavume ennudaya role maadal,positive
 @0.38 it's SuperStar Rajini not Rajni... Spelling mistake !!,positive
 Remake of pink movie ah... Apdiye eduthurukeenga... Oru dialogue kooda maarama... But fight scene extra va...,positive
 Neraya neraya neraya atha yarkanave nerachi poitha iruku inum yathuku kaekura iva mutta  punda,negative
 Eduthu vainga Da adutha Oscar ah ASURAN Ku.,positive
 I miss you ishwarya rai madam,neutral
 Mass  Dhanush  manju  vetri,positive
 Thalaivaaaaaaa.......  Ungaluku vayase aaakathu. Nee mattum thaa Thlaiva mass. Massuke Boss.,positive
