sentence,label
whenever it rains it 's so hard to get motivated,negative
whenever it <GIB> it <GIB> so hard to <GIB> motivated,negative
whenever it rains it 's so <GIB> to get <GIB>,negative
@ <GIB> <GIB> shut <GIB> ed NO its how I feel,negative
@ therealedjones lol <GIB> uuuuuup ed NO its how I <GIB>,negative
@ therealedjones lol shut uuuuuup ed NO its how I feel,negative
@ <GIB> hey <GIB> how are you the <GIB> is a really beautiful <GIB> well done on the <GIB> its beautiful,negative
@ mileycyrus hey miley how <GIB> you the climb <GIB> a really beautiful song well <GIB> on the vid its beautiful,negative
@ mileycyrus hey miley how are you the climb is a really <GIB> song well done on the vid its <GIB>,negative
<GIB> . @ ddlovato ill <GIB> for <GIB> & <GIB> ; tell all my <GIB> to vote 2,negative
congrats . @ ddlovato ill vote for u & amp ; <GIB> all my friends to <GIB> 2,negative
congrats . @ ddlovato <GIB> vote for u & amp ; tell all my friends to vote 2,negative
@ <GIB> : <GIB> <GIB> !,negative
@ KCtotheMAXXX : Contortionist kitteh !,negative
@ KCtotheMAXXX : Contortionist kitteh !,negative
"@ vitorpbalan I had a normal <GIB> , except meeting my <GIB> 's <GIB> , he 's cool ! ^^ . And here is 11 : 10pm and very hot ! I ca n't stand it !",negative
"@ vitorpbalan I <GIB> a normal day , except <GIB> my friend 's brother , he <GIB> cool ! ^^ . And here <GIB> 11 : 10pm and very hot ! I ca n't <GIB> it !",negative
"@ vitorpbalan I had a <GIB> day , except meeting my friend 's brother , he 's <GIB> ! ^^ . And here is 11 : 10pm and very <GIB> ! I ca n't stand it !",negative
@ katherinemarsh my <GIB> wo n't let me get it <GIB> apparently it ' clogs upit 'd be epic to play on the <GIB> too !,negative
@ katherinemarsh my parents wo n't <GIB> me <GIB> it cos apparently it ' <GIB> upit 'd <GIB> epic to <GIB> on the mac too !,negative
@ katherinemarsh my parents wo n't let me get it cos apparently it ' clogs <GIB> 'd be <GIB> to play on the mac too !,negative
<GIB> so much ! @ <GIB> @ <GIB>,negative
