sentence,label
 hoo mammokka police vesham aaha anthas,positive
 Oru rekshayum illa...kidilam kannu nananjupoyi,positive
 Ikka     waiting.........,positive
 Raju Ettante Oro Shorttum Ijathi ppwli,positive
 Ettan fansil netti poya aarenkilum undo?    madurarajawaiting ,positive
 Last aa chadi adi.... Uff.        Frm an ettan fan,positive
 1 day achu 5 million views kooda varla,neutral
 heavy mass,positive
 I a m a katta mammookka fan,neutral
 Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.,neutral
 Nte ponno oru raksha Illa Ennaaa Trailer,positive
 Mammookka fans like adi. Love u ikka,positive
 Dislike adikan keri like adichath njaan mathramaano?,neutral
 Enada Orukuda kanom,neutral
 Oh mass o mass laletta katta waiting....Bgm,positive
 Ith powlichu vaariyitte pooku....,positive
 7.3k dislike adichavanmaarod onne parayanollu......  OMKV,negative
 June 16 Keralakara ilakki marikkum ikka,positive
 Ithu  Verum unda alla Machinegun  Nirachum undayulla machinegun,neutral
 Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni,neutral
 Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa,positive
 vaada a otta vili athu mathi .athu maathram mathi,positive
 Babynet  oppam Shane nigam venaayirunnu Enna ithinakaal adipoliyaayirikum Shanente fans adi like,neutral
 mamangam uff ijjathi trailer oru rakshem illa poli,positive
 Nalla polippan school life kanam katta waiting for you Mammukka,positive
 Trailer kande oru pidium illatha aralum,neutral
 Feeling sad am studying in punjab ivde release aakuvo,negative
 Polikkum mammukkante pattalam movie orth poyath njaan maatramaano..??,neutral
 Padam release cheyunne annu thanne kanumanne urapullavar Like adike machanmaree,neutral
 Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne,neutral
 Thirunavayile arenkilum undo  Trailer like cheyan marakanda,neutral
 INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer,positive
 movie kandathinu shesham onum kudi trailer kanan vanaver like,neutral
 Mammoka fans and laletan fans Katta waiting,neutral
 Eee eid ikka ang edutthu ennu paranjekk,positive
 Ahaa hahaha ha.... Nte ponnikkka mutheeee,positive
 Fan show set...arokke fan showkk pokunnu und,neutral
 Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....,positive
 Ithin dislike addikunavar lokka tholvikallayirkkum,positive
 Ini nammalarenkilum chathale sarkar sradhikku ennano... ith porikkum,neutral
 FDFS LOCKED  LALETTAN  RAJUETTAN  uff ejathi,positive
 Feel good movie 2019 le best movie aavum ithu urappu,positive
 1k dislikes Ella dislike pannikalkum endhe naduviral namskaram,negative
 Mohan Lal Katy’s fans onnn like Chevu Chet daaaa Lal attan,neutral
 2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa,positive
 Eante ponnooo romanjam vannu poeonnum parayanilla,positive
 Eth oru onnonnara padam aavum enn urappullavar like adi,positive
 Surajettan kunjunni mash ayi abhinayichal powlikku.m,positive
 Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta,positive
 Raaza..u Do,neutral
 Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.,positive
 Lalettan fans full support und makkaleee......,positive
 Keralathinu purathu ninnulla anyaphashakar adi like,neutral
 All Kerala mohanlal fans nte power onnu kanichu kodukk.....like ..,neutral
 Adhikam hype venda,negative
 Ithu kidukkum,positive
 am a lalettan fan... but lalettane arum pokendaa... director prithviannuu,neutral
 Padam 1 st day kaanum athu urappu.,positive
 masss effect,positive
 Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum:call_me_hand: full on full power,positive
 Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...,positive
